20:25:57 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:27:00 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:33:55 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:34:00 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:39:29 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:39:35 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:43:36 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:43:45 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:44:22 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:45:41 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:46:47 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:46:59 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:48:28 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:48:41 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:49:40 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:54:05 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:56:06 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:56:32 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:02:14 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:03:02 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:06:07 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:06:43 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:08:03 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
21:31:22 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
