03:09:42 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
03:45:47 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
03:52:51 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
03:56:25 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
03:57:51 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
04:06:51 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
04:07:58 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
04:12:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:06:26 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:08:21 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:25:24 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:25:54 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:26:27 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:42:07 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:42:15 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
05:59:15 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
06:20:29 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
06:30:29 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
06:30:44 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
06:31:00 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
06:31:07 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
06:37:56 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
06:40:30 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
06:40:36 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
07:06:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
07:06:13 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
07:52:15 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
07:52:21 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
07:55:16 [AccountInfo] Account disconnected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
07:55:35 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
10:33:04 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
10:33:16 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
10:38:58 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
10:39:04 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
10:47:01 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
10:47:13 [AccountInfo] Account connected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
11:01:36 [AccountInfo] Account disconnected (Account: hernanfren, IpAddress: 192.168.1.65, GameServerCode: 0)
11:01:42 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
12:08:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
12:08:37 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
12:56:59 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
22:52:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
22:54:45 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
23:15:25 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
23:16:05 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
23:40:54 [AccountInfo] Account disconnected by clear (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
23:42:25 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.65, GameServerCode: 0)
