00:00:44 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:01:49 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:03:25 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:04:34 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:05:29 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:05:56 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:13:25 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:16:38 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:17:51 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:19:09 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:21:14 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:22:47 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:23:33 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:24:51 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:25:55 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:28:46 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:29:55 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:31:20 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:32:23 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:33:34 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
00:43:06 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
01:14:30 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
01:18:38 [AccountInfo] Account disconnected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
01:19:24 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
01:27:59 [AccountInfo] Account disconnected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
01:29:21 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.67, GameServerCode: 0)
02:24:00 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
02:24:34 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
02:30:57 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
02:31:17 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:24:52 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
20:26:44 [AccountInfo] Account connected (Account: test2, IpAddress: 192.168.1.65, GameServerCode: 0)
20:40:23 [AccountInfo] Account connected (Account: test3, IpAddress: 192.168.1.65, GameServerCode: 0)
22:46:54 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
22:46:55 [AccountInfo] Account disconnected (Account: test2, IpAddress: 192.168.1.65, GameServerCode: 0)
22:46:56 [AccountInfo] Account disconnected (Account: test3, IpAddress: 192.168.1.65, GameServerCode: 0)
22:47:13 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
22:48:52 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
22:50:44 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
22:50:57 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
23:14:35 [AccountInfo] Account connected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
23:31:01 [AccountInfo] Account disconnected (Account: test1, IpAddress: 192.168.1.65, GameServerCode: 0)
